organism,organ,assay,cell_type_counts
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,"{""GABAergic neuron"": 5462, ""astrocyte"": 6067, ""endothelial cell"": 712, ""glutamatergic neuron"": 21148, ""microglial cell"": 522, ""oligodendrocyte"": 7433}"
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,"{""GABAergic neuron"": 31597, ""astrocyte"": 4088, ""endothelial cell"": 309, ""glutamatergic neuron"": 88032, ""microglial cell"": 1740, ""oligodendrocyte"": 4315}"
Callithrix jacchus,amygdala,10x 3' v3,"{""GABAergic neuron"": 12738, ""astrocyte"": 8648, ""endothelial cell"": 70, ""glutamatergic neuron"": 21478, ""microglial cell"": 4342, ""oligodendrocyte"": 8056}"
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,"{""astrocyte"": 3242, ""endothelial cell"": 583, ""ependymal cell"": 2012, ""microglial cell"": 6718, ""neuron"": 22092, ""oligodendrocyte"": 11691}"
Callithrix jacchus,basal forebrain,10x 3' v3,"{""astrocyte"": 2588, ""endothelial cell"": 362, ""microglial cell"": 1824, ""neuron"": 10857, ""oligodendrocyte"": 9040}"
Callithrix jacchus,brainstem,10x 3' v3,"{""astrocyte"": 1980, ""endothelial cell"": 333, ""microglial cell"": 4122, ""oligodendrocyte"": 30443, ""unknown"": 69605}"
Callithrix jacchus,caudate nucleus,10x 3' v3,"{""GABAergic interneuron"": 1882, ""astrocyte"": 6491, ""endothelial cell"": 1372, ""ependymal cell"": 4106, ""medium spiny neuron"": 18342, ""microglial cell"": 1776, ""oligodendrocyte"": 12467}"
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,"{""astrocyte"": 1968, ""endothelial cell"": 112, ""microglial cell"": 979, ""neuron"": 6099, ""oligodendrocyte"": 5001}"
Callithrix jacchus,cerebellum lobule,10x 3' v3,"{""astrocyte"": 8, ""microglial cell"": 221, ""oligodendrocyte"": 6938, ""unknown"": 92981}"
Callithrix jacchus,dorsal thalamus,10x 3' v3,"{""astrocyte"": 7222, ""endothelial cell"": 2077, ""ependymal cell"": 3530, ""microglial cell"": 1888, ""neuron"": 23371, ""oligodendrocyte"": 13173}"
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,"{""B cell"": 6, ""GABAergic neuron"": 40713, ""L2/3 intratelencephalic projecting glutamatergic neuron"": 50225, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 1361, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 2879, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 4957, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 6284, ""L6b glutamatergic cortical neuron"": 2654, ""T cell"": 113, ""VIP GABAergic cortical interneuron"": 6539, ""astrocyte"": 30381, ""chandelier pvalb GABAergic cortical interneuron"": 1614, ""endothelial cell"": 7359, ""erythroid lineage cell"": 233, ""glutamatergic neuron"": 118603, ""inhibitory interneuron"": 2471, ""lamp5 GABAergic cortical interneuron"": 3542, ""macrophage"": 254, ""microglial cell"": 6505, ""myeloid cell"": 44, ""oligodendrocyte"": 32663, ""oligodendrocyte precursor cell"": 4586, ""pericyte"": 2521, ""pvalb GABAergic cortical interneuron"": 6085, ""smooth muscle cell"": 647, ""sst GABAergic cortical interneuron"": 8297, ""vascular leptomeningeal cell"": 1564}"
Callithrix jacchus,hippocampal formation,10x 3' v3,"{""GABAergic neuron"": 3526, ""astrocyte"": 4934, ""endothelial cell"": 593, ""ependymal cell"": 1718, ""glutamatergic neuron"": 17891, ""microglial cell"": 1417, ""oligodendrocyte"": 6871}"
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,"{""GABAergic neuron"": 1784, ""astrocyte"": 1159, ""endothelial cell"": 5, ""glutamatergic neuron"": 1963, ""microglial cell"": 215, ""oligodendrocyte"": 1233}"
Callithrix jacchus,lateral geniculate body,10x 3' v3,"{""astrocyte"": 1241, ""endothelial cell"": 1368, ""ependymal cell"": 5, ""microglial cell"": 985, ""neuron"": 5270, ""oligodendrocyte"": 4814}"
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,"{""astrocyte"": 3980, ""endothelial cell"": 1037, ""ependymal cell"": 89, ""microglial cell"": 3686, ""neuron"": 15785, ""oligodendrocyte"": 21328}"
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,"{""GABAergic neuron"": 2422, ""astrocyte"": 3018, ""endothelial cell"": 12, ""glutamatergic neuron"": 2201, ""microglial cell"": 437, ""oligodendrocyte"": 1163}"
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,"{""astrocyte"": 4081, ""endothelial cell"": 982, ""ependymal cell"": 2169, ""microglial cell"": 854, ""neuron"": 15699, ""oligodendrocyte"": 10439}"
