organism,organ,assay,dataset_title,cell_type,count
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3097
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,712
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,522
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,3558
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.ASTROCYTES,astrocyte,2970
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.GAD.all,GABAergic neuron,5462
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,21148
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.OLIGO,oligodendrocyte,3875
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4088
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,309
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1740
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,4315
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,cortex.GAD.all,GABAergic neuron,11667
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,31538
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,pfc.a25.GAD,GABAergic neuron,19930
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,pfc.a25.GLUT,glutamatergic neuron,56494
Callithrix jacchus,amygdala,10x 3' v3,all.ASTROCYTES.comp,astrocyte,8648
Callithrix jacchus,amygdala,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,70
Callithrix jacchus,amygdala,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,4342
Callithrix jacchus,amygdala,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,8056
Callithrix jacchus,amygdala,10x 3' v3,amygdala.GAD,GABAergic neuron,12738
Callithrix jacchus,amygdala,10x 3' v3,amygdala.GLUT,glutamatergic neuron,21478
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3242
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,583
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.EPENDYMA.comp,ependymal cell,2012
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,6718
