Dataset,Organism,Modality,Organ,Size,Unit,Priority,Source,DOI/URL,Notes
Organoid Atlas (10x v3),Human,scRNA-seq,Brain,1770000,cells,1,cellxgene / Nature 2024,https://doi.org/10.1038/s41586-024-08172-8,HNOCA - 36 datasets integrated from 26 protocols; 1.77M after QC
ROSMAP Compass (10x v3),Human,scRNA-seq,Brain,22000000,nuclei,1,Synapse / bioRxiv 2025,https://www.biorxiv.org/content/10.1101/2025.08.11.668964v1,22M nuclei from 2058 donors (ROSMAP + NPS-AD); includes multiome portion
AMP PD (snRNA-seq),Human,scRNA-seq,Brain,2100000,nuclei,1,AMP PD / Sci Data 2024,https://doi.org/10.1038/s41597-024-04117-y,100 postmortem donors; 444 samples; 5 brain regions
ASAP (snRNA-seq),Human,scRNA-seq,Brain,2800000,nuclei,1,Allen Institute / ASAP CRN,https://alleninstitute.github.io/abc_atlas_access/notebooks/asap_pmdbs_data_and_metadata.html,211 donors; 383 samples; 9 brain regions (ASAP PMDBS)
SEAAD (snRNA-seq),Human,scRNA-seq,Brain,1200000,nuclei,1,Synapse / Nat Neurosci 2024,https://doi.org/10.1038/s41593-024-01774-5,"84 donors; MTG region; 1.2M snRNA-seq; 3.4M total across modalities"
Organoid Atlas (multiome),Human,Multiome,Brain,109255,cells,1,cellxgene / Nature 2024,https://doi.org/10.1038/s41586-024-08172-8,Multiome subset of HNOCA
miRNA Tissue Atlas (human),Human,small RNA-seq,Multi-region,46997,samples,1,internal / NAR 2025,https://doi.org/10.1093/nar/gkae1060,miRNATissueAtlas 2025; 46997 human samples across 74 organs
PPMI RNA-seq,Human,bulk RNA-seq,Blood,4756,samples,2,PPMI / medRxiv 2021,https://doi.org/10.1101/2021.01.05.21249278,1570 participants; longitudinal (baseline + 4 visits)
ASAP bulk RNA-seq,Human,bulk RNA-seq,Brain,211,donors,2,Allen Institute / ASAP CRN,https://alleninstitute.github.io/abc_atlas_access/,PolyA RNA-seq from 211 donors across 9 brain regions
PPMI smallRNAseq,Human,small RNA-seq,Blood,5450,samples,2,PPMI / Nat Aging 2021,https://doi.org/10.1038/s43587-021-00042-6,1614 participants; deep sncRNA-seq; 323B total reads
Wang et al. B-cells,Human,scRNA (blood),Blood,10466,cells,2,GEO / Front Immunol 2022,https://doi.org/10.3389/fimmu.2022.814239,14 individuals (8 PD + 6 HC); 10x v3
Wang et al. T-cells,Human,scRNA (blood),Blood,103365,cells,2,GEO / Cell Discov 2021,https://doi.org/10.1038/s41421-021-00280-3,14 individuals (8 PD + 6 HC); CD3+ T cells
Xiong et al. PBMCs,Human,scRNA (blood),Blood,58808,cells,2,GEO / npj Park Dis 2024,https://doi.org/10.1038/s41531-024-00790-3,6 individuals (2 HC + 2 PD-Early + 2 PD-Late); 10x v3
ASAP mouse brain,Mouse,scRNA-seq,Brain,420000,cells,3,ASAP,,Unverified — ASAP mouse brain scRNA-seq
miRNA Tissue Atlas (mouse),Mouse,small RNA-seq,Multi-region,14596,samples,3,internal / NAR 2025,https://doi.org/10.1093/nar/gkae1060,miRNATissueAtlas 2025; 14596 mouse samples
BGI Macaque (snRNA-seq),Macaque,scRNA-seq,Brain,2584000,nuclei,3,BGI / Sci Adv 2024,https://doi.org/10.1126/sciadv.adh1914,DNBelab C4 platform; rhesus macaque brain atlas
miRNA Tissue Atlas (macaque),Macaque,small RNA-seq,Multi-region,18,tissues,3,internal / Nat Commun 2026,https://doi.org/10.1038/s41467-026-68812-7,4NBoost atlas; 18 macaque tissues; not yet in miRNATissueAtlas
PPMI WGS,Human,WGS,Blood,1667,participants,4,PPMI / AMP PD,https://amp-pdrd.org/whole-genome-data,PPMI contribution to AMP PD WGS; ~70 TB FASTQ
AMP PD WGS (blood),Human,WGS,Blood,10490,participants,4,AMP PD,https://amp-pdrd.org/whole-genome-data,Total AMP PD blood WGS across 8 cohorts
AMP PD WGS (brain),Human,WGS,Brain,100,participants,4,AMP PD,https://amp-pdrd.org/data/postmortem-sequencing-data,100 postmortem brain WGS from primary visual cortex
PPMI MS proteomics (CSF),Human,Proteomics,CSF,765,samples,4,PPMI / Acta Neuropathol 2024,https://doi.org/10.1007/s00401-024-02706-0,257 participants; Olink
PPMI MS proteomics (plasma),Human,Proteomics,CSF,859,samples,4,PPMI / Acta Neuropathol 2024,https://doi.org/10.1007/s00401-024-02706-0,274 participants; Olink
PPMI MS proteomics (urine),Human,Proteomics,CSF,1156,samples,4,PPMI / Acta Neuropathol 2024,https://doi.org/10.1007/s00401-024-02706-0,983 participants; LC-MS/MS
