organism,assay_title,classification,lab,biosample,target,count
Drosophila melanogaster,Control ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,none,734
Caenorhabditis elegans,Control ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,none,300
Caenorhabditis elegans,Control ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,none,275
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",K562,none,196
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW","CD4-positive, alpha-beta T cell",none,189
Homo sapiens,Control eCLIP,cell line,"Gene Yeo, UCSD",K562,none,167
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","CD4-positive, alpha-beta T cell",none,162
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","stimulated activated CD4-positive, alpha-beta T cell",none,133
Homo sapiens,Control eCLIP,cell line,"Gene Yeo, UCSD",HepG2,none,128
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",dorsolateral prefrontal cortex,none,120
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",dorsolateral prefrontal cortex,none,110
unknown,RNA Bind-n-Seq,cell-free sample,"Chris Burge, MIT",cell-free sample,none,103
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",head of caudate nucleus,none,86
Mus musculus,total RNA-seq,primary cell,"Alexander Hoffmann, UCLA",macrophage,none,78
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-cell,none,76
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",HUDEP-2,none,76
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated CD8-positive, alpha-beta memory T cell",none,71
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",HCT116,none,68
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated CD4-positive, alpha-beta T cell",none,68
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",GM12878,none,68
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",T47D,none,66
Drosophila melanogaster,polyA plus RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,none,66
