organism,tissue_general,tissue,assay,dataset_id,collection_id,dataset_title,collection_doi,cell_type,count
Callithrix jacchus,brain,Brodmann (1909) area 23,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,712
Callithrix jacchus,brain,Brodmann (1909) area 25,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,309
Callithrix jacchus,brain,amygdala,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,70
Callithrix jacchus,brain,anterior hypothalamic region,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,583
Callithrix jacchus,brain,basal forebrain,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,362
Callithrix jacchus,brain,brainstem,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,333
Callithrix jacchus,brain,caudate nucleus,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,1372
Callithrix jacchus,brain,central amygdaloid nucleus,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,112
Callithrix jacchus,brain,dorsal thalamus,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,2077
Callithrix jacchus,brain,dorsolateral prefrontal cortex,10x 3' v3,0a101f64-84bb-48ba-a7bf-2d50447c32df,0fd39ad7-5d2d-41c2-bda0-c55bde614bdb,all.ENDOTHELIA.nocbm,10.1126/sciadv.adk3986,endothelial cell,3084
